2025-05-07 17:27:30,099 - NEATTraining - INFO - Starting NEAT agent training
2025-05-07 17:27:30,103 - NEATTraining - INFO - Environment: CartPole-v1
2025-05-07 17:27:30,103 - NEATTraining - INFO - State space: Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
2025-05-07 17:27:30,103 - NEATTraining - INFO - Action space: Discrete(2)
2025-05-07 17:28:12,267 - NEATTraining - INFO - Generation 106: Average Return = 19.60, Best Return = 500.00
2025-05-07 17:28:12,319 - NEATTraining - INFO - Generation 107: Average Return = 19.02, Best Return = 500.00
2025-05-07 17:28:12,372 - NEATTraining - INFO - Generation 108: Average Return = 19.34, Best Return = 500.00
2025-05-07 17:28:12,422 - NEATTraining - INFO - Generation 109: Average Return = 19.88, Best Return = 500.00
2025-05-07 17:28:12,471 - NEATTraining - INFO - Generation 110: Average Return = 18.54, Best Return = 500.00
2025-05-07 17:28:12,521 - NEATTraining - INFO - Generation 111: Average Return = 19.38, Best Return = 500.00
2025-05-07 17:28:12,572 - NEATTraining - INFO - Generation 112: Average Return = 19.96, Best Return = 500.00
2025-05-07 17:28:12,622 - NEATTraining - INFO - Generation 113: Average Return = 20.54, Best Return = 500.00
2025-05-07 17:28:12,675 - NEATTraining - INFO - Generation 114: Average Return = 21.78, Best Return = 500.00
2025-05-07 17:28:12,734 - NEATTraining - INFO - Generation 115: Average Return = 26.84, Best Return = 500.00
2025-05-07 17:28:12,788 - NEATTraining - INFO - Generation 116: Average Return = 21.50, Best Return = 500.00
2025-05-07 17:28:12,841 - NEATTraining - INFO - Generation 117: Average Return = 20.82, Best Return = 500.00
2025-05-07 17:28:12,891 - NEATTraining - INFO - Generation 118: Average Return = 19.26, Best Return = 500.00
2025-05-07 17:28:12,941 - NEATTraining - INFO - Generation 119: Average Return = 19.82, Best Return = 500.00
2025-05-07 17:28:12,991 - NEATTraining - INFO - Generation 120: Average Return = 20.74, Best Return = 500.00
2025-05-07 17:28:13,041 - NEATTraining - INFO - Generation 121: Average Return = 19.68, Best Return = 500.00
2025-05-07 17:28:13,089 - NEATTraining - INFO - Generation 122: Average Return = 18.16, Best Return = 500.00
2025-05-07 17:28:13,137 - NEATTraining - INFO - Generation 123: Average Return = 17.70, Best Return = 500.00
2025-05-07 17:28:13,198 - NEATTraining - INFO - Generation 124: Average Return = 19.62, Best Return = 500.00
2025-05-07 17:28:13,255 - NEATTraining - INFO - Generation 125: Average Return = 18.56, Best Return = 500.00
2025-05-07 17:28:13,305 - NEATTraining - INFO - Generation 126: Average Return = 18.50, Best Return = 500.00
2025-05-07 17:28:13,356 - NEATTraining - INFO - Generation 127: Average Return = 20.66, Best Return = 500.00
2025-05-07 17:28:13,405 - NEATTraining - INFO - Generation 128: Average Return = 19.42, Best Return = 500.00
2025-05-07 17:28:13,468 - NEATTraining - INFO - Generation 129: Average Return = 29.02, Best Return = 500.00
2025-05-07 17:28:13,529 - NEATTraining - INFO - Generation 130: Average Return = 26.24, Best Return = 500.00
2025-05-07 17:28:13,577 - NEATTraining - INFO - Generation 131: Average Return = 18.84, Best Return = 500.00
2025-05-07 17:28:13,628 - NEATTraining - INFO - Generation 132: Average Return = 19.96, Best Return = 500.00
2025-05-07 17:28:13,688 - NEATTraining - INFO - Generation 133: Average Return = 19.76, Best Return = 500.00
2025-05-07 17:28:13,740 - NEATTraining - INFO - Generation 134: Average Return = 20.06, Best Return = 500.00
2025-05-07 17:28:13,788 - NEATTraining - INFO - Generation 135: Average Return = 17.84, Best Return = 500.00
2025-05-07 17:28:13,839 - NEATTraining - INFO - Generation 136: Average Return = 19.66, Best Return = 500.00
2025-05-07 17:28:13,891 - NEATTraining - INFO - Generation 137: Average Return = 20.06, Best Return = 500.00
2025-05-07 17:28:13,951 - NEATTraining - INFO - Generation 138: Average Return = 25.66, Best Return = 500.00
2025-05-07 17:28:14,002 - NEATTraining - INFO - Generation 139: Average Return = 19.38, Best Return = 500.00
2025-05-07 17:28:14,054 - NEATTraining - INFO - Generation 140: Average Return = 19.42, Best Return = 500.00
2025-05-07 17:28:14,105 - NEATTraining - INFO - Generation 141: Average Return = 19.70, Best Return = 500.00
2025-05-07 17:28:14,164 - NEATTraining - INFO - Generation 142: Average Return = 19.54, Best Return = 500.00
2025-05-07 17:28:14,216 - NEATTraining - INFO - Generation 143: Average Return = 19.58, Best Return = 500.00
2025-05-07 17:28:14,279 - NEATTraining - INFO - Generation 144: Average Return = 27.44, Best Return = 500.00
2025-05-07 17:28:14,330 - NEATTraining - INFO - Generation 145: Average Return = 19.28, Best Return = 500.00
2025-05-07 17:28:14,379 - NEATTraining - INFO - Generation 146: Average Return = 19.88, Best Return = 500.00
2025-05-07 17:28:14,434 - NEATTraining - INFO - Generation 147: Average Return = 19.32, Best Return = 500.00
2025-05-07 17:28:14,485 - NEATTraining - INFO - Generation 148: Average Return = 19.22, Best Return = 500.00
2025-05-07 17:28:14,539 - NEATTraining - INFO - Generation 149: Average Return = 19.20, Best Return = 500.00
2025-05-07 17:28:14,589 - NEATTraining - INFO - Generation 150: Average Return = 18.26, Best Return = 500.00
2025-05-07 17:28:14,639 - NEATTraining - INFO - Generation 151: Average Return = 18.72, Best Return = 500.00
2025-05-07 17:28:14,689 - NEATTraining - INFO - Generation 152: Average Return = 18.48, Best Return = 500.00
2025-05-07 17:28:14,739 - NEATTraining - INFO - Generation 153: Average Return = 18.78, Best Return = 500.00
2025-05-07 17:28:14,788 - NEATTraining - INFO - Generation 154: Average Return = 18.62, Best Return = 500.00
2025-05-07 17:28:14,839 - NEATTraining - INFO - Generation 155: Average Return = 20.04, Best Return = 500.00
2025-05-07 17:28:14,891 - NEATTraining - INFO - Generation 156: Average Return = 19.48, Best Return = 500.00
2025-05-07 17:28:14,943 - NEATTraining - INFO - Generation 157: Average Return = 19.26, Best Return = 500.00
2025-05-07 17:28:14,992 - NEATTraining - INFO - Generation 158: Average Return = 19.86, Best Return = 500.00
2025-05-07 17:28:15,041 - NEATTraining - INFO - Generation 159: Average Return = 18.20, Best Return = 500.00
2025-05-07 17:28:15,092 - NEATTraining - INFO - Generation 160: Average Return = 20.82, Best Return = 500.00
2025-05-07 17:28:15,142 - NEATTraining - INFO - Generation 161: Average Return = 19.06, Best Return = 500.00
2025-05-07 17:28:15,197 - NEATTraining - INFO - Generation 162: Average Return = 20.26, Best Return = 500.00
2025-05-07 17:28:15,252 - NEATTraining - INFO - Generation 163: Average Return = 18.72, Best Return = 500.00
2025-05-07 17:28:15,316 - NEATTraining - INFO - Generation 164: Average Return = 21.82, Best Return = 500.00
2025-05-07 17:28:15,377 - NEATTraining - INFO - Generation 165: Average Return = 19.62, Best Return = 500.00
2025-05-07 17:28:15,433 - NEATTraining - INFO - Generation 166: Average Return = 25.34, Best Return = 500.00
2025-05-07 17:28:15,485 - NEATTraining - INFO - Generation 167: Average Return = 20.10, Best Return = 500.00
2025-05-07 17:28:15,545 - NEATTraining - INFO - Generation 168: Average Return = 18.70, Best Return = 500.00
2025-05-07 17:28:15,596 - NEATTraining - INFO - Generation 169: Average Return = 19.32, Best Return = 500.00
2025-05-07 17:28:15,656 - NEATTraining - INFO - Generation 170: Average Return = 20.70, Best Return = 500.00
2025-05-07 17:28:15,715 - NEATTraining - INFO - Generation 171: Average Return = 27.16, Best Return = 500.00
2025-05-07 17:28:15,763 - NEATTraining - INFO - Generation 172: Average Return = 18.28, Best Return = 500.00
2025-05-07 17:28:15,812 - NEATTraining - INFO - Generation 173: Average Return = 18.94, Best Return = 500.00
2025-05-07 17:28:15,860 - NEATTraining - INFO - Generation 174: Average Return = 20.00, Best Return = 500.00
2025-05-07 17:28:15,916 - NEATTraining - INFO - Generation 175: Average Return = 19.36, Best Return = 500.00
2025-05-07 17:28:15,976 - NEATTraining - INFO - Generation 176: Average Return = 18.34, Best Return = 500.00
2025-05-07 17:28:16,029 - NEATTraining - INFO - Generation 177: Average Return = 21.38, Best Return = 500.00
2025-05-07 17:28:16,086 - NEATTraining - INFO - Generation 178: Average Return = 23.44, Best Return = 500.00
2025-05-07 17:28:16,136 - NEATTraining - INFO - Generation 179: Average Return = 20.24, Best Return = 500.00
2025-05-07 17:28:16,187 - NEATTraining - INFO - Generation 180: Average Return = 19.80, Best Return = 500.00
2025-05-07 17:28:16,238 - NEATTraining - INFO - Generation 181: Average Return = 20.78, Best Return = 500.00
2025-05-07 17:28:16,288 - NEATTraining - INFO - Generation 182: Average Return = 18.20, Best Return = 500.00
2025-05-07 17:28:16,339 - NEATTraining - INFO - Generation 183: Average Return = 21.26, Best Return = 500.00
2025-05-07 17:28:16,390 - NEATTraining - INFO - Generation 184: Average Return = 19.02, Best Return = 500.00
2025-05-07 17:28:16,440 - NEATTraining - INFO - Generation 185: Average Return = 19.88, Best Return = 500.00
2025-05-07 17:28:16,497 - NEATTraining - INFO - Generation 186: Average Return = 18.80, Best Return = 500.00
2025-05-07 17:28:16,561 - NEATTraining - INFO - Generation 187: Average Return = 28.16, Best Return = 500.00
2025-05-07 17:28:16,620 - NEATTraining - INFO - Generation 188: Average Return = 26.54, Best Return = 500.00
2025-05-07 17:28:16,671 - NEATTraining - INFO - Generation 189: Average Return = 19.54, Best Return = 500.00
2025-05-07 17:28:16,740 - NEATTraining - INFO - Generation 190: Average Return = 28.80, Best Return = 500.00
2025-05-07 17:28:16,793 - NEATTraining - INFO - Generation 191: Average Return = 18.34, Best Return = 500.00
2025-05-07 17:28:16,851 - NEATTraining - INFO - Generation 192: Average Return = 17.96, Best Return = 500.00
2025-05-07 17:28:16,903 - NEATTraining - INFO - Generation 193: Average Return = 22.48, Best Return = 500.00
2025-05-07 17:28:16,957 - NEATTraining - INFO - Generation 194: Average Return = 20.54, Best Return = 500.00
2025-05-07 17:28:17,005 - NEATTraining - INFO - Generation 195: Average Return = 19.00, Best Return = 500.00
2025-05-07 17:28:17,055 - NEATTraining - INFO - Generation 196: Average Return = 18.52, Best Return = 500.00
2025-05-07 17:28:17,105 - NEATTraining - INFO - Generation 197: Average Return = 19.42, Best Return = 500.00
2025-05-07 17:28:17,165 - NEATTraining - INFO - Generation 198: Average Return = 19.52, Best Return = 500.00
2025-05-07 17:28:17,226 - NEATTraining - INFO - Generation 199: Average Return = 27.56, Best Return = 500.00
